f1_macro,accuracy,auroc_macro,pr_auc_macro,fold_id,test_subject,model,stage,generalization_gap
1.0,1.0,1.0,1.0,9,4,RandomForest,train,0.46175587352057945
0.5382441264794205,0.7368421052631579,0.8645582060216207,0.7552941363814485,9,4,RandomForest,test,0.46175587352057945
1.0,1.0,1.0,1.0,9,4,XGBoost,train,0.38969638242894067
0.6103036175710593,0.8157894736842105,0.8975967122308587,0.7839369895540651,9,4,XGBoost,test,0.38969638242894067
1.0,1.0,1.0,1.0,9,4,ExtraTrees,train,0.41214534594325525
0.5878546540567448,0.7894736842105263,0.8476458500848745,0.7041396438489115,9,4,ExtraTrees,test,0.41214534594325525
1.0,1.0,1.0,1.0,9,4,LightGBM,train,0.34628621694430706
0.6537137830556929,0.8157894736842105,0.8310531383702116,0.6792372219501711,9,4,LightGBM,test,0.34628621694430706
0.9980141170585904,0.9981851179673321,0.9999988973608332,0.9999990334304982,9,4,CatBoost,train,0.3877104994875311
0.6103036175710593,0.8157894736842105,0.8436066192163754,0.7147145705747316,9,4,CatBoost,test,0.3877104994875311
0.834053003400767,0.8480436760691538,0.9604677274369645,0.8935924747176939,10,5,LogisticRegression,train,0.3928656877665488
0.44118731563421826,0.6582278481012658,0.8815239454774338,0.788015519282733,10,5,LogisticRegression,test,0.3928656877665488
1.0,1.0,1.0,1.0,10,5,RandomForest,train,0.15888472337179682
0.8411152766282032,0.8987341772151899,0.9785052372261674,0.9429846741999565,10,5,RandomForest,test,0.15888472337179682
1.0,1.0,1.0,1.0,10,5,XGBoost,train,0.07652423788105944
0.9234757621189406,0.9367088607594937,0.9896083675153443,0.9770639610655062,10,5,XGBoost,test,0.07652423788105944
1.0,1.0,1.0,1.0,10,5,ExtraTrees,train,0.33356242840778927
0.6664375715922107,0.8354430379746836,0.962740102274986,0.8378852357788986,10,5,ExtraTrees,test,0.33356242840778927
1.0,1.0,1.0,1.0,10,5,LightGBM,train,0.11724545528654107
0.8827545447134589,0.9113924050632911,0.9833968787457158,0.9601931578124274,10,5,LightGBM,test,0.11724545528654107
0.9987970693661246,0.9990900818926297,0.9999988914385801,0.9999990268130055,10,5,CatBoost,train,0.18894987072435887
0.8098471986417657,0.8860759493670886,0.9786129030315077,0.9179609415487863,10,5,CatBoost,test,0.18894987072435887
0.8366911224276757,0.8518181818181818,0.9566175209558082,0.8791216639024807,11,6,LogisticRegression,train,0.37590680870218557
0.46078431372549017,0.46153846153846156,0.875435438255951,0.7936891038484722,11,6,LogisticRegression,test,0.37590680870218557
1.0,1.0,1.0,1.0,11,6,RandomForest,train,0.03552971576227393
0.9644702842377261,0.9743589743589743,0.9938970810765683,0.9823474786868708,11,6,RandomForest,test,0.03552971576227393
1.0,1.0,1.0,1.0,11,6,XGBoost,train,0.19154564899245763
